model,lang_pair,metric_type,mean_cosine,std_cosine,median_cosine,MRR,P@1,P@5,Hit@10,silhouette,purity,triplet_cohesion
mSBERT,bn-en,similarity,0.4376,0.1422,0.4317,,,,,,,
LaBSE,bn-en,similarity,0.3878,0.2028,0.3607,,,,,,,
XLM-R,bn-en,similarity,0.9932,0.0029,0.994,,,,,,,
mSBERT,bn-hi,similarity,0.5629,0.1392,0.5637,,,,,,,
LaBSE,bn-hi,similarity,0.2879,0.1331,0.2752,,,,,,,
XLM-R,bn-hi,similarity,0.9934,0.0031,0.9943,,,,,,,
mSBERT,bn-en,retrieval,,,,0.0011,0.0004,0.0019,0.0028,,,
mSBERT,bn-hi,retrieval,,,,0.0073,0.0029,0.0114,0.0232,,,
LaBSE,bn-en,retrieval,,,,0.0084,0.0055,0.0119,0.0148,,,
LaBSE,bn-hi,retrieval,,,,0.0145,0.0075,0.0241,0.035,,,
XLM-R,bn-en,retrieval,,,,0.0001,0.0,0.0003,0.0004,,,
XLM-R,bn-hi,retrieval,,,,0.0068,0.0019,0.0115,0.0245,,,
mSBERT,all,clustering,,,,,,,,-0.018,0.902,0.0106
LaBSE,all,clustering,,,,,,,,0.0408,0.7453,0.0176
XLM-R,all,clustering,,,,,,,,0.0419,0.9853,0.0
mSBERT,bn-bn,monolingual_similarity,0.6814,,,,,,,,,
LaBSE,bn-bn,monolingual_similarity,0.3307,,,,,,,,,
XLM-R,bn-bn,monolingual_similarity,0.9942,,,,,,,,,
BanglaBERT,bn-bn,monolingual_similarity,0.8306,,,,,,,,,
mSBERT,bn-bn,monolingual_retrieval,,,,1.0,1.0,1.0,1.0,,,
LaBSE,bn-bn,monolingual_retrieval,,,,1.0,1.0,1.0,1.0,,,
XLM-R,bn-bn,monolingual_retrieval,,,,1.0,1.0,1.0,1.0,,,
BanglaBERT,bn-bn,monolingual_retrieval,,,,1.0,1.0,1.0,1.0,,,
mSBERT,bn,clustering_monolingual,,,,,,,,-0.02,,
LaBSE,bn,clustering_monolingual,,,,,,,,0.0338,,
XLM-R,bn,clustering_monolingual,,,,,,,,-0.0509,,
BanglaBERT,bn,clustering_monolingual,,,,,,,,-0.035,,
