model,idiom,language,cluster
mSBERT,অ আ ক খ,Bengali,42
mSBERT,অকর্মার ধাড়ি,Bengali,9
mSBERT,অকলের শত্রু,Bengali,33
mSBERT,অকস্মাৎ বজ্রপাত,Bengali,42
mSBERT,অকাজের গোঁসাই,Bengali,33
mSBERT,অকারণে হৈচৈ,Bengali,20
mSBERT,অকাল,Bengali,9
mSBERT,অকাল-অপক্ব,Bengali,42
mSBERT,অকালকুষ্মাণ্ড,Bengali,42
mSBERT,অকালপক্ব,Bengali,42
mSBERT,অকালবসন্ত,Bengali,42
mSBERT,অকালবোধন,Bengali,42
mSBERT,অকালমৃত্যু,Bengali,2
mSBERT,অকালসন্ধ্যা,Bengali,2
mSBERT,অকালের বাদল,Bengali,2
mSBERT,অকালের তাল,Bengali,2
mSBERT,অকূল,Bengali,9
mSBERT,অকূলতারণ,Bengali,20
mSBERT,অকূলে কূল পাওয়া,Bengali,2
mSBERT,অকূলে ডোবা,Bengali,12
mSBERT,অকূলদরিয়ায় ভাসা,Bengali,33
mSBERT,অকূলের কূল,Bengali,2
mSBERT,অকূলের ভেলা,Bengali,2
mSBERT,অক্কা পাওয়া,Bengali,12
mSBERT,অক্টোপাস,Bengali,9
mSBERT,অক্ষয়বট,Bengali,12
mSBERT,অক্ষর পরিচয়,Bengali,42
mSBERT,অক্ষরজ্ঞান,Bengali,2
mSBERT,অক্ষরে অক্ষরে,Bengali,42
mSBERT,অক্সিজেন জোগানো,Bengali,9
mSBERT,অখদ্যে অবদ্যে,Bengali,20
mSBERT,অখন-তখন অবস্থা,Bengali,49
mSBERT,অগতির গতি,Bengali,45
mSBERT,অগত্যা মধুসূদন,Bengali,12
mSBERT,অগভীর জলের পুঁটিমাছ,Bengali,39
mSBERT,অগর-মগর করা,Bengali,12
mSBERT,অগস্ত্যযাত্রা,Bengali,45
mSBERT,অগা,Bengali,9
mSBERT,অগাধ জল,Bengali,12
mSBERT,অগাধ জলের মাছ,Bengali,39
mSBERT,অগ্নি-অবতার,Bengali,33
mSBERT,অগ্নিকন্যা,Bengali,9
mSBERT,অগ্নিকাণ্ড,Bengali,9
mSBERT,অগ্নিগর্ভ,Bengali,9
mSBERT,অগ্নিচক্ষু,Bengali,9
mSBERT,অগ্নিদাতা,Bengali,2
mSBERT,অগ্নিপরীক্ষা,Bengali,9
mSBERT,অগ্নিবর্ধক,Bengali,12
mSBERT,অগ্নিবর্ষণ,Bengali,2
mSBERT,অগ্নিবল,Bengali,9
mSBERT,অগ্নিবাণ,Bengali,2
mSBERT,অগ্নিবৃদ্ধি,Bengali,42
mSBERT,অগ্নিমান্দ্য,Bengali,9
mSBERT,অগ্নিমূর্তি,Bengali,9
mSBERT,অগ্নিমূল্য,Bengali,42
mSBERT,অগ্নিযুগ,Bengali,12
mSBERT,অগ্নিশর্মা,Bengali,12
